epoch,accuracy,an_mean,an_std,ap_mean,ap_std,loss,val_accuracy,val_an_mean,val_an_std,val_ap_mean,val_ap_std,val_loss
0,0.7578125,38043.90625,15809.919921875,20270.828125,15809.919921875,112.0999755859375,0.859375,35676.1640625,15573.6669921875,26747.09375,15573.6669921875,3053.24951171875
0,0.714062511920929,37872.3828125,16218.806640625,15022.080078125,16218.806640625,0.0,0.796875,33202.46875,16312.822265625,26312.033203125,16312.822265625,3299.3232421875
1,0.729687511920929,37815.76953125,16209.6923828125,15401.7578125,16209.6923828125,0.0,0.8125,30728.203125,14270.8310546875,27267.103515625,14270.8310546875,4178.767578125
2,0.7421875,37760.4765625,16983.671875,15188.6220703125,16983.671875,0.0,0.84375,36438.23828125,17686.759765625,29092.48046875,17686.759765625,4478.4775390625
3,0.699999988079071,42111.765625,17736.76171875,15942.947265625,17736.76171875,14.965558052062988,0.75,33248.96484375,13349.43359375,27814.423828125,13349.43359375,4862.0625
4,0.6812499761581421,36558.48046875,15518.314453125,12741.728515625,15518.314453125,15.131555557250977,0.734375,34783.33203125,15490.4736328125,28518.125,15490.4736328125,2667.404296875
5,0.653124988079071,35042.5078125,15795.447265625,10174.6572265625,15795.447265625,3.8226990699768066,0.78125,38615.90625,17880.958984375,29816.576171875,17880.958984375,3343.578125
6,0.6421874761581421,35810.71875,16899.41796875,8158.5751953125,16899.41796875,0.0,0.75,33851.07421875,12983.609375,25554.705078125,12983.609375,2605.232666015625
7,0.6312500238418579,37953.48046875,16938.36328125,7702.08056640625,16938.36328125,0.0,0.828125,32462.9375,13422.0869140625,30766.26953125,13422.0869140625,4890.2099609375
8,0.620312511920929,36972.8671875,16681.943359375,7558.37646484375,16681.943359375,0.0,0.71875,34518.28125,16268.8369140625,28567.36328125,16268.8369140625,3811.49658203125
9,0.6390625238418579,38350.8515625,17995.2734375,7588.4794921875,17995.2734375,0.0,0.796875,34223.2421875,17320.8359375,31713.494140625,17320.8359375,6325.2412109375
0,0.8812500238418579,14711.513671875,10217.884765625,8967.666015625,10217.884765625,1191.27099609375,0.859375,16126.3115234375,12737.9853515625,13081.2470703125,12737.9853515625,1982.9964599609375
1,0.8453124761581421,14366.578125,10932.578125,5172.7431640625,10932.578125,72.24754333496094,0.84375,22589.58984375,20951.388671875,12660.255859375,20951.388671875,2851.875
2,0.846875011920929,15588.529296875,12687.2763671875,4440.6904296875,12687.2763671875,15.300840377807617,0.859375,17509.041015625,12773.4990234375,10002.65625,12773.4990234375,606.4810791015625
3,0.8296874761581421,15229.40625,10989.19140625,4393.42138671875,10989.19140625,18.810068130493164,0.875,17731.95703125,16304.5029296875,13844.146484375,16304.5029296875,3566.77392578125
4,0.854687511920929,17320.71875,14090.1845703125,4067.67333984375,14090.1845703125,0.9981414675712585,0.8125,17091.6640625,11137.66015625,10905.068359375,11137.66015625,1512.3375244140625
5,0.800000011920929,15000.9013671875,10783.748046875,3690.682861328125,10783.748046875,0.0,0.84375,21869.548828125,13337.072265625,12724.759765625,13337.072265625,924.83935546875
6,0.8046875,16788.05859375,11922.8173828125,3579.09423828125,11922.8173828125,0.0,0.765625,15243.4677734375,8991.9375,13669.423828125,8991.9375,3961.02294921875
7,0.807812511920929,15422.650390625,11457.505859375,3593.01318359375,11457.505859375,0.0,0.859375,20827.52734375,14930.6298828125,12207.42578125,14930.6298828125,1549.1165771484375
0,0.8535454273223877,6.954329967498779,9.391806602478027,1.341366171836853,9.391806602478027,0.17391996085643768,0.8671383857727051,5.958392143249512,5.353549957275391,6.083928108215332,5.353549957275391,2.227611780166626
1,0.8198494911193848,6.708969593048096,6.287624359130859,1.3329769372940063,6.287624359130859,0.09841444343328476,0.8638139963150024,7.563747882843018,5.862431049346924,7.719485282897949,5.862431049346924,2.4738664627075195
2,0.8020182251930237,7.888140678405762,6.748159885406494,1.5010982751846313,6.748159885406494,0.06702243536710739,0.8535040616989136,7.320479393005371,5.219240188598633,7.260484218597412,5.219240188598633,2.1980483531951904
3,0.7930554747581482,8.16911792755127,6.700291633605957,1.45968496799469,6.700291633605957,0.03987477719783783,0.8584456443786621,8.218228340148926,5.7611308097839355,8.219671249389648,5.7611308097839355,2.4660534858703613
4,0.7886460423469543,8.796609878540039,7.128204345703125,1.5591946840286255,7.128204345703125,0.031971730291843414,0.8555031418800354,8.82923412322998,6.248996734619141,8.887022972106934,6.248996734619141,2.6646816730499268
5,0.7846631407737732,9.07275390625,7.328898906707764,1.5457730293273926,7.328898906707764,0.02441026084125042,0.8554806709289551,9.177987098693848,6.519257545471191,9.295169830322266,6.519257545471191,2.797513246536255
6,0.796187698841095,7.5497260093688965,5.502138137817383,2.317288398742676,5.502138137817383,0.06754545867443085,0.8539533019065857,6.807093620300293,4.863241672515869,6.860898017883301,4.863241672515869,2.089395523071289
7,0.7849830389022827,6.898900985717773,4.818483829498291,2.0274746417999268,4.818483829498291,0.04194311425089836,0.853391706943512,6.519048690795898,4.652653694152832,6.603865146636963,4.652653694152832,2.0356411933898926
8,0.7783167958259583,6.634365558624268,4.591784954071045,1.8812220096588135,4.591784954071045,0.03187057003378868,0.8554581999778748,6.403115272521973,4.578120231628418,6.50285530090332,4.578120231628418,2.0169668197631836
9,0.7773793339729309,6.459261894226074,4.477287769317627,1.7766025066375732,4.477287769317627,0.02748679928481579,0.8531221747398376,6.276174068450928,4.489149570465088,6.387740135192871,4.489149570465088,1.992616057395935
10,0.7737287282943726,6.298421859741211,4.338265419006348,1.6865284442901611,4.338265419006348,0.023742569610476494,0.8565363883972168,6.263484001159668,4.5212788581848145,6.388932704925537,4.5212788581848145,2.001875638961792
11,0.8064252138137817,5.805181503295898,3.924912452697754,2.3391478061676025,3.924912452697754,0.1150829866528511,0.8618149161338806,6.331394195556641,4.707383632659912,6.246034145355225,4.707383632659912,1.885392427444458
12,0.8081637024879456,5.613513946533203,3.7750837802886963,2.4071552753448486,3.7750837802886963,0.14527831971645355,0.8624213933944702,6.474116802215576,4.810937404632568,6.39924430847168,4.810937404632568,1.9112213850021362
13,0.8088382482528687,5.562037467956543,3.7385122776031494,2.428105115890503,3.7385122776031494,0.15314224362373352,0.8622641563415527,6.550868034362793,4.849454402923584,6.489474773406982,4.849454402923584,1.9253307580947876
14,0.809302031993866,5.55157470703125,3.7211990356445312,2.4255752563476562,3.7211990356445312,0.1500706672668457,0.862848162651062,6.497893333435059,4.788966178894043,6.439404010772705,4.788966178894043,1.9135231971740723
15,0.8072560429573059,5.524066925048828,3.689300298690796,2.3797879219055176,3.689300298690796,0.1363062709569931,0.8610512018203735,6.456005573272705,4.741887092590332,6.404222011566162,4.741887092590332,1.9072201251983643
16,0.8131956458091736,5.765994548797607,3.742790699005127,2.842947244644165,3.742790699005127,0.2610601484775543,0.864420473575592,6.354214191436768,4.719197750091553,6.2772064208984375,4.719197750091553,1.877243161201477
17,0.810938835144043,5.700135231018066,3.668696880340576,2.783161163330078,3.668696880340576,0.240830197930336,0.8661051392555237,6.313008785247803,4.722843170166016,6.224932670593262,4.722843170166016,1.8653711080551147
18,0.8106734752655029,5.667706489562988,3.6290283203125,2.7503223419189453,3.6290283203125,0.22741135954856873,0.866307258605957,6.296541690826416,4.723333835601807,6.202856540679932,4.723333835601807,1.8606895208358765
19,0.8097682595252991,5.6488142013549805,3.5964548587799072,2.7282044887542725,3.5964548587799072,0.2172219604253769,0.8693620562553406,6.28770637512207,4.730907440185547,6.194100379943848,4.730907440185547,1.8585784435272217
20,0.8092028498649597,5.637565612792969,3.5724377632141113,2.7127017974853516,3.5724377632141113,0.20888008177280426,0.8686882257461548,6.282773017883301,4.716420650482178,6.18971061706543,4.716420650482178,1.8578598499298096
0,0.6900531649589539,126050.4609375,69546.1484375,34017.61328125,69546.1484375,163.92056274414062,0.8440251350402832,163188.53125,93218.703125,122091.7734375,93218.703125,14698.5302734375
0,0.8539075255393982,134.91851806640625,108.12579345703125,75.04369354248047,108.12579345703125,10.783132553100586,0.8634995222091675,76.53202056884766,63.163856506347656,69.11524963378906,63.163856506347656,18.161128997802734
0,0.6645635962486267,129059.546875,60591.56640625,36295.08984375,60591.56640625,167.77268981933594,0.7933737635612488,147705.15625,63041.76953125,109927.578125,63041.76953125,11908.7001953125
0,0.9298405051231384,8.227598190307617,23.1143741607666,2.118356943130493,23.1143741607666,1.223211646080017,0.9219900965690613,0.6762856245040894,2.3554341793060303,0.9287237524986267,2.3554341793060303,0.8927591443061829
